Title,Studio,Release Date,Genre,RuntimeBudget,Gross,IMDb Rating
Gone with the Wind,MGM,15-12-39,drama,238,3.9,"6,846.70",8.2
101 Dalmatians,Disney,25-01-61,animation,79,75,"1,717.10",6.4
Doctor Dolittle,Fox,19-12-67,adventure,152,70.5,"2,096.80",5.3
The Godfather,Paramount Pictures,15-03-72,crime,175,7,"1,394.40",9.2
The Exorcist,WB,26-12-73,horror,122,12,"2,363.60",6.9
Jaws,Universal,20-06-75,thriller,124,12,"2,080.60",8.1
Star Wars,Fox,25-05-77,action,121,11,"3,042.80",8.7
Close Encounters of the Third Kind,Colombia Pictures,16-11-77,drama,132,20,"1,192.20",7.7
Saturday Night Fever,Paramount Pictures,16-12-77,drama,118,3.5,930.4,6.8
Grease,Paramount Pictures,16-06-78,musical,110,6,"1,440.70",7.2
Moonraker,MGM,29-06-79,action,126,31,688.8,6.2
The Empire Strikes Back,Fox,21-05-80,sci-fi,124,23,"1,553.80",8.8
Raiders of the Lost Ark,Paramount Pictures,12-06-81,action,115,20,"1,020",8.6
E.T.: The Extra-Terrestrial,Universal,11-06-82,adventure,115,10.5,"1,953.90",7.9
Return of the Jedi,Fox,25-05-83,action,134,32.5,"1,134.30",8.4
Indiana Jones and the Temple of Doom,Paramount Pictures,23-05-84,action,118,28,762.4,7.6
Ghostbusters,Colombia Pictures,08-06-84,adventure,105,30,675.7,6.9
Beverly Hills Cop,Paramount Pictures,05-12-84,action,105,15,724.2,7.3
Rambo: First Blood Part II,TriStar,22-05-85,action,96,44,663.9,6.4
Back to the Future,Universal,03-07-85,adventure,116,19,842.3,8.5
Rocky IV,UA Entertainment,27-11-85,action,91,28,664.1,6.7
Top Gun,Paramount Pictures,16-05-86,action,110,15,774.2,6.8
Crocodile Dundee,Paramount Pictures,26-09-86,adventure,93,5,712.1,6.5
Beverly Hills Cop II,Paramount Pictures,20-05-87,action,100,20,628,6.4
Dirty Dancing,Vestron Pictures,21-08-87,drama,100,6,448,6.8
Fatal Attraction,Paramount Pictures,18-09-87,drama,119,14,670.1,6.9
Crocodile Dundee II,Paramount Pictures,25-05-88,action,108,14,481.6,5.5
Who Framed Roger Rabbit,Buena Vista Studios,22-06-88,animation,104,70,663,7.7
Coming to America,Paramount Pictures,29-06-88,comedy,116,39,580.5,6.9
Twins,Universal,09-12-88,comedy,105,15,435.4,5.9
Rain Man,MGM,16-12-88,drama,133,25,713.2,8
Indiana Jones and the Last Crusade,Paramount Pictures,24-05-89,action,127,48,909.4,8.3
Dead Poets Society,Buena Vista Studios,02-06-89,drama,128,16.4,452.4,8
Ghostbusters II,Colombia Pictures,16-06-89,action,108,37,413.1,6.5
"Honey, I Shrunk the Kids",Buena Vista Studios,23-06-89,adventure,93,18,427.1,6.2
Batman,WB,23-06-89,action,126,48,788.8,7.6
Lethal Weapon 2,WB,07-07-89,action,114,25,437.1,7.2
Look Who's Talking,TriStar,13-10-89,romance,93,7.5,569.6,5.8
The Little Mermaid,Buena Vista Studios,15-11-89,animation,83,40,405.2,6.6
Back to the Future Part II,Universal,22-11-89,adventure,108,40,636.7,7.8
The Hunt for Red October,Paramount Pictures,02-03-90,action,134,30,364.8,7.6
Pretty Woman,Buena Vista Studios,23-03-90,comedy,119,14,843.1,6.9
Teenage Mutant Ninja Turtles,New Line Cinema,30-03-90,action,101,93,367.5,6
Back to the Future Part III,Universal,24-05-90,action,118,40,444.9,7.4
Total Recall,Sony,01-06-90,action,113,65,475.4,7.5
Die Hard 2: Die Harder,Fox,04-07-90,action,124,70,436.7,7.1
Ghost,Paramount Pictures,13-07-90,drama,127,22,920.1,7
Dances with Wolves,Orion,09-11-90,adventure,181,19,771.8,8
Home Alone,Fox,16-11-90,adventure,103,15,867.3,7.4
Kindergarten Cop,Universal,21-12-90,action,111,26,367.5,5.9
The Silence of the Lambs,Orion,14-02-91,thriller,118,20,476.1,8.6
Robin Hood: Prince of Thieves,WB,14-06-91,action,143,50,681.8,6.9
Terminator 2: Judgment Day,TriStar,02-07-91,action,137,100,907.6,8.5
Beauty and the Beast,Buena Vista Studios,13-11-91,animation,84,20,742,7.2
Hook,TriStar,11-12-91,adventure,144,70,525.4,6.7
JFK,WB,20-12-91,thriller,188,40,358.6,6.4
Basic Instinct,TriStar,20-03-92,mystery,127,49,598.2,6.9
Lethal Weapon 3,WB,15-05-92,action,118,35,545.3,6.7
Sister Act,Buena Vista Studios,29-05-92,comedy,100,31,392.6,6.2
Batman Returns,WB,19-06-92,action,126,80,452.2,7
Aladdin,Buena Vista Studios,11-11-92,animation,90,28,854.4,8
Bram Stoker's Dracula,Colombia Pictures,13-11-92,horror,128,40,365.9,5.6
Home Alone 2: Lost in New York,Fox,20-11-92,comedy,120,20,608.5,6.5
The Bodyguard,WB,25-11-92,romance,129,25,696.6,7
A Few Good Men,Colombia Pictures,11-12-92,thriller,138,33,412.2,7.6
Indecent Proposal,Paramount Pictures,07-04-93,drama,117,38,438.7,5.8
Cliffhanger,TriStar,28-05-93,action,113,65,419.7,6.4
Jurassic Park,Universal,11-06-93,adventure,127,63,"1,693.80",8.1
Sleepless in Seattle,TriStar,25-06-93,romance,105,21,374.9,6.8
The Firm,Paramount Pictures,30-06-93,thriller,154,42,444.7,6.8
The Fugitive,WB,06-08-93,action,130,44,607.1,7.8
Mrs. Doubtfire,Fox,24-11-93,comedy,125,25,726.3,8
Schindler's List,Universal,15-12-93,biography,195,25,528.8,8.9
Philadelphia,TriStar,22-12-93,drama,125,26,340.2,8.8
Four Weddings and a Funeral,Gramercy Pictures,09-03-94,comedy,117,4.5,394.3,7.3
The Flintstones,Universal,27-05-94,comedy,91,45,548.1,4.8
Speed,Fox,10-06-94,action,30,30,562.3,7.2
The Lion King,Buena Vista Studios,15-06-94,animation,89,79.3,"1,584.60",8.5
Forrest Gump,Paramount Pictures,06-07-94,drama,142,55,"1,087.80",8.8
True Lies,Fox,15-07-94,action,141,100,608,7.2
The Mask,New Line Cinema,29-07-94,comedy,101,23,564.2,6.8
Clear and Present Danger,Paramount Pictures,03-08-94,action,141,62,346.4,6.9
Pulp Fiction,MiraMax,14-10-94,crime,154,8,343.2,8.9
Interview with the Vampire,WB,11-11-94,drama,123,50,359,7.6
Disclosure,WB,09-12-94,drama,128,55,343.4,6
Dumb and Dumber,New Line Cinema,16-12-94,comedy,107,16,396.8,7.3
The Jungle Book,Disney,23-12-94,animation,111,27,330.2,7.6
Die Hard: With A Vengeance,Fox,19-05-95,action,131,90,571.3,7.6
Braveheart,Paramount Pictures,24-05-95,action,177,72,328.3,8.4
Casper,Universal,26-05-95,comedy,100,55,449.2,6
Batman Forever,WB,16-06-95,action,121,100,525.1,5.4
Pocahontas,Buena Vista Studios,23-06-95,animation,81,75,540.1,6.6
Apollo 13,Universal,30-06-95,adventure,140,65,554.3,7.6
Waterworld,Universal,28-07-95,action,136,175,412.3,6.1
Babe,Universal,04-08-95,adventure,89,30,396.5,6.8
Seven,New Line Cinema,22-09-95,crime,127,30,510.7,8.7
Ace Ventura: When Nature Calls,WB,10-11-95,comedy,90,30,331.4,6.3
GoldenEye,MGM,17-11-95,action,130,60,549.6,7.2
Toy Story,Buena Vista Studios,22-11-95,animation,80,30,564.9,8.3
Jumanji,Sony,15-12-95,adventure,104,65,410.1,6.8
Twister,WB,10-05-96,action,113,88,749.5,6.3
The Rock,Buena Vista Studios,07-06-96,action,136,75,507.9,7.4
Eraser,WB,21-06-96,action,115,100,367.2,6
The Hunchback of Notre Dame,Buena Vista Studios,21-06-96,animation,91,100,493,6.8
